 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos
Período:2015
"Município";"10 a 14 anos";"15 a 19 anos";"Total"
"351550 Fernandópolis";-;102;102
"351565 Fernão";-;1;1
"351570 Ferraz de Vasconcelos";14;464;478
"351580 Flora Rica";-;2;2
"351590 Floreal";-;4;4
"351600 Flórida Paulista";-;22;22
"351610 Florínia";1;6;7
"351620 Franca";24;614;638
"351630 Francisco Morato";26;546;572
"351640 Franco da Rocha";10;346;356
"351650 Gabriel Monteiro";-;5;5
"351660 Gália";-;13;13
"351670 Garça";4;80;84
"351680 Gastão Vidigal";-;15;15
"351685 Gavião Peixoto";-;13;13
"351690 General Salgado";-;22;22
"351700 Getulina";-;25;25
"351710 Glicério";-;9;9
"351720 Guaiçara";2;20;22
"351730 Guaimbê";1;10;11
"351740 Guaíra";2;68;70
"351750 Guapiaçu";1;31;32
"351760 Guapiara";4;49;53
"351770 Guará";1;46;47
"351780 Guaraçaí";-;12;12
"351790 Guaraci";3;22;25
"351800 Guarani d'Oeste";-;1;1
"351810 Guarantã";1;13;14
"351820 Guararapes";1;64;65
"351830 Guararema";3;58;61
"351840 Guaratinguetá";9;195;204
"351850 Guareí";2;25;27
"351860 Guariba";2;72;74
"351870 Guarujá";30;728;758
"351880 Guarulhos";107;3127;3234
"351885 Guatapará";2;15;17
"351890 Guzolândia";1;16;17
"351900 Herculândia";1;22;23
"351905 Holambra";-;37;37
"351907 Hortolândia";10;368;378
"351910 Iacanga";3;33;36
"351920 Iacri";1;9;10
"351925 Iaras";-;21;21
"351930 Ibaté";6;86;92
"351940 Ibirá";-;21;21
"351950 Ibirarema";2;19;21
"351960 Ibitinga";5;119;124
"351970 Ibiúna";8;211;219
"351980 Icém";-;20;20
"351990 Iepê";-;25;25
"352000 Igaraçu do Tietê";2;54;56
"352010 Igarapava";-;48;48
"352020 Igaratá";-;24;24
"352030 Iguape";3;71;74
"352042 Ilha Comprida";2;23;25
"352044 Ilha Solteira";1;40;41
"352040 Ilhabela";2;51;53
"352050 Indaiatuba";14;304;318
"352060 Indiana";-;11;11
"352070 Indiaporã";2;13;15
"352080 Inúbia Paulista";1;2;3
"352090 Ipaussu";3;30;33
"352100 Iperó";4;74;78
"352110 Ipeúna";1;16;17
"352115 Ipiguá";1;12;13
"352120 Iporanga";-;13;13
"352130 Ipuã";1;33;34
"352140 Iracemápolis";2;29;31
"352150 Irapuã";3;12;15
"352160 Irapuru";1;10;11
"352170 Itaberá";4;59;63
"352180 Itaí";2;60;62
"352190 Itajobi";3;21;24
"352200 Itaju";1;11;12
"352210 Itanhaém";15;267;282
"352215 Itaóca";-;12;12
"352220 Itapecerica da Serra";7;509;516
"352230 Itapetininga";14;355;369
"352240 Itapeva";7;274;281
"352250 Itapevi";16;756;772
"352260 Itapira";7;122;129
"352265 Itapirapuã Paulista";1;16;17
"352270 Itápolis";4;79;83
"352280 Itaporanga";2;38;40
"352290 Itapuí";1;34;35
"352300 Itapura";2;20;22
"352310 Itaquaquecetuba";45;1128;1173
"352320 Itararé";8;135;143
"352330 Itariri";5;28;33
"352340 Itatiba";1;174;175
"352350 Itatinga";4;51;55
"352360 Itirapina";1;24;25
"352370 Itirapuã";-;14;14
"352380 Itobi";-;13;13
"352390 Itu";18;359;377
"352400 Itupeva";2;120;122
"352410 Ituverava";2;77;79
"352420 Jaborandi";-;11;11
"352430 Jaboticabal";4;98;102
"352440 Jacareí";15;471;486
"352450 Jaci";-;8;8
"352460 Jacupiranga";3;45;48
"352470 Jaguariúna";2;110;112
"352480 Jales";4;49;53
"352490 Jambeiro";3;13;16
"352500 Jandira";7;267;274
"352510 Jardinópolis";3;86;89
"352520 Jarinu";1;84;85
"352530 Jaú";14;251;265
"352540 Jeriquara";1;9;10
"352550 Joanópolis";-;28;28
"352560 João Ramalho";1;19;20
"352570 José Bonifácio";3;81;84
"352580 Júlio Mesquita";-;13;13
"352585 Jumirim";1;5;6
"352590 Jundiaí";24;565;589
"352600 Junqueirópolis";-;27;27
"352610 Juquiá";3;59;62
"352620 Juquitiba";6;84;90
"352630 Lagoinha";1;5;6
"352640 Laranjal Paulista";-;66;66
"352650 Lavínia";-;11;11
"352660 Lavrinhas";-;22;22
"352670 Leme";11;201;212
"352680 Lençóis Paulista";5;135;140
"352690 Limeira";14;443;457
"352700 Lindóia";-;8;8
"352710 Lins";8;125;133
"352720 Lorena";9;209;218
"352725 Lourdes";-;6;6
"352730 Louveira";-;83;83
"352740 Lucélia";1;27;28
"352750 Lucianópolis";-;6;6
"352760 Luís Antônio";2;29;31
"352770 Luiziânia";1;20;21
"352780 Lupércio";1;7;8
"352790 Lutécia";-;1;1
"352800 Macatuba";-;38;38
"352810 Macaubal";1;19;20
"352820 Macedônia";-;5;5
"352830 Magda";-;5;5
"352840 Mairinque";5;97;102
"352850 Mairiporã";7;168;175
"352860 Manduri";1;15;16
"352870 Marabá Paulista";1;6;7
"352880 Maracaí";1;27;28
"352885 Marapoama";1;3;4
"352890 Mariápolis";-;8;8
"352900 Marília";12;364;376
"352910 Marinópolis";-;2;2
"352920 Martinópolis";2;59;61
"352930 Matão";9;151;160
"352940 Mauá";25;824;849
"352950 Mendonça";-;7;7
"352960 Meridiano";-;9;9
"352965 Mesópolis";-;5;5
"352970 Miguelópolis";5;53;58
"352980 Mineiros do Tietê";3;23;26
"353000 Mira Estrela";-;4;4
"352990 Miracatu";3;73;76
"353010 Mirandópolis";-;52;52
"353020 Mirante do Paranapanema";1;29;30
"353030 Mirassol";2;83;85
"353040 Mirassolândia";-;9;9
"353050 Mococa";5;121;126
"353060 Mogi das Cruzes";36;940;976
"353070 Mogi Guaçu";6;241;247
"353080 Mogi Mirim";5;139;144
"353090 Mombuca";-;13;13
"353100 Monções";-;1;1
"353110 Mongaguá";4;114;118
"353120 Monte Alegre do Sul";-;7;7
"353130 Monte Alto";-;58;58
"353140 Monte Aprazível";4;21;25
"353150 Monte Azul Paulista";1;31;32
"353160 Monte Castelo";-;11;11
"353180 Monte Mor";10;180;190
"353170 Monteiro Lobato";-;4;4
"353190 Morro Agudo";2;90;92
"353200 Morungaba";-;31;31
"353205 Motuca";-;10;10
"353210 Murutinga do Sul";1;6;7
"353215 Nantes";-;11;11
"353220 Narandiba";-;16;16
"353230 Natividade da Serra";-;11;11
"353240 Nazaré Paulista";1;43;44
"353250 Neves Paulista";-;10;10
"353260 Nhandeara";-;11;11
"353270 Nipoã";-;19;19
"353280 Nova Aliança";2;17;19
"353282 Nova Campina";1;44;45
"353284 Nova Canaã Paulista";1;4;5
"353290 Nova Europa";-;37;37
"353300 Nova Granada";2;46;48
"353310 Nova Guataporanga";-;2;2
"353320 Nova Independência";-;11;11
"353330 Nova Luzitânia";1;4;5
"353340 Nova Odessa";7;67;74
"353325 Novais";-;8;8
"353350 Novo Horizonte";1;83;84
"353360 Nuporanga";-;12;12
"353370 Ocauçu";2;19;21
"353380 Óleo";1;5;6
"353390 Olímpia";10;110;120
"353400 Onda Verde";1;4;5
"353410 Oriente";2;10;12
"353420 Orindiúva";-;3;3
"353430 Orlândia";1;66;67
"353440 Osasco";49;1452;1501
"353450 Oscar Bressane";-;6;6
"353460 Osvaldo Cruz";1;39;40
"353470 Ourinhos";11;212;223
"353480 Ouro Verde";1;19;20
"353475 Ouroeste";-;16;16
"353490 Pacaembu";1;13;14
"353500 Palestina";-;17;17
"353510 Palmares Paulista";2;26;28
"353520 Palmeira d'Oeste";-;12;12
"353530 Palmital";2;44;46
"353540 Panorama";1;48;49
"353550 Paraguaçu Paulista";4;97;101
"353560 Paraibuna";2;41;43
"353570 Paraíso";-;10;10
"353580 Paranapanema";-;73;73
