Município,Soma de Menor de 10 anos 2014,Soma de 10 a 14 anos 2014,Soma de 15 a 19 anos 2014,Soma de Menor de 10 anos 2015,Soma de 10 a 14 anos 2015,Soma de 15 a 19 anos 2015,Soma de Menor de 10 anos 2016,Soma de 10 a 14 anos 2016,Soma de 15 a 19 anos 2016
Santa Rita d'Oeste,0,0,2,0,0,4,0,0,1
Santa Rita do Passa Quatro,0,1,31,0,1,32,0,1,33
Santa Rosa de Viterbo,0,2,49,0,0,46,0,0,26
Santa Salete,0,0,1,0,0,0,0,0,2
Santo Anastácio,0,1,40,0,1,26,0,1,33
Santo André,0,39,954,0,32,863,0,19,823
Santo Antônio da Alegria,0,0,8,0,1,9,0,1,19
Santo Antônio de Posse,0,2,51,0,6,67,0,0,46
Santo Antônio do Aracanguá,0,0,29,0,0,14,0,4,14
Santo Antônio do Jardim,0,1,6,0,0,11,0,0,7
Santo Antônio do Pinhal,0,1,9,0,0,10,0,0,10
Santo Expedito,0,0,6,0,0,11,0,0,2
Santópolis do Aguapeí,0,0,12,0,0,9,0,0,10
Santos,0,19,552,0,17,459,0,13,429
São Bento do Sapucaí,0,2,21,0,0,19,0,0,20
São Bernardo do Campo,0,60,1285,0,48,1217,0,28,1094
São Caetano do Sul,0,4,93,0,1,91,0,1,107
São Carlos,0,14,346,0,14,326,0,13,315
São Francisco,0,1,4,0,0,4,0,0,6
São João da Boa Vista,0,7,134,0,4,131,0,1,95
São João das Duas Pontes,0,0,7,0,0,2,0,0,7
São João de Iracema,0,0,3,0,0,5,0,0,7
São João do Pau d'Alho,0,0,4,0,0,0,0,0,2
São Joaquim da Barra,0,1,89,0,4,91,0,1,66
São José da Bela Vista,0,1,17,0,2,30,0,0,26
São José do Barreiro,0,0,8,0,0,12,0,0,8
São José do Rio Pardo,0,4,83,0,4,65,0,2,75
São José do Rio Preto,0,24,626,0,21,577,0,20,516
São José dos Campos,0,44,1185,0,35,1166,0,25,1060
São Lourenço da Serra,0,0,31,0,1,29,0,2,36
São Luís do Paraitinga,0,1,15,0,0,15,0,1,23
São Manuel,0,5,82,0,2,63,0,3,77
São Miguel Arcanjo,0,5,65,0,3,70,0,3,81
São Paulo,0,867,22384,0,761,21750,0,691,19685
São Pedro,0,6,64,0,4,58,0,0,50
São Pedro do Turvo,0,1,12,0,0,14,0,1,13
São Roque,0,3,184,0,4,136,0,6,139
São Sebastião,0,11,233,0,7,191,0,7,178
São Sebastião da Grama,0,2,21,0,1,23,0,1,15
São Simão,0,0,17,0,2,21,0,0,27
São Vicente,0,32,749,0,26,773,0,32,744
Sarapuí,0,1,21,0,2,23,0,0,17
Sarutaiá,0,1,13,0,1,12,0,1,8
Sebastianópolis do Sul,0,0,8,0,0,2,0,0,3
Serra Azul,0,2,23,0,1,28,0,0,21
Serrana,0,5,115,0,5,84,0,4,110
Serra Negra,0,3,44,0,1,48,0,1,45
Sertãozinho,0,9,220,0,9,204,0,7,170
Sete Barras,0,3,47,0,0,36,0,1,45
Severínia,0,6,31,0,2,57,0,1,45
Silveiras,0,1,13,0,1,8,0,0,12
Socorro,0,2,63,0,3,52,0,1,50
Sorocaba,0,34,1109,0,39,1066,0,36,995
Sud Mennucci,0,0,21,0,0,27,0,0,16
Sumaré,0,23,492,0,18,499,0,12,472
Suzano,0,24,757,0,29,709,0,16,689
Suzanápolis,0,0,4,0,2,8,0,0,10
Tabapuã,0,3,25,0,1,17,0,2,12
Tabatinga,0,2,43,0,1,39,0,3,46
Taboão da Serra,0,18,623,0,23,632,0,7,521
Taciba,0,0,23,0,1,12,0,0,12
Taguaí,0,1,35,0,1,35,0,0,20
Taiaçu,0,3,19,0,2,22,0,0,9
Taiúva,0,1,8,0,0,11,0,0,9
Tambaú,0,1,59,0,3,42,0,2,36
Tanabi,0,3,42,0,2,47,0,3,31
Tapiraí,0,0,20,0,1,27,0,2,25
Tapiratiba,0,5,25,0,1,21,0,0,15
Taquaral,0,1,5,0,1,2,0,0,1
Taquaritinga,0,8,145,0,8,104,0,7,106
Taquarituba,0,2,52,0,2,59,0,1,55
Taquarivaí,0,1,19,0,0,16,0,1,16
Tarabai,0,1,15,0,0,19,0,0,15
Tarumã,0,1,34,0,0,39,0,2,31
Tatuí,0,10,306,0,8,250,0,9,262
Taubaté,0,18,538,0,18,523,0,12,498
Tejupá,0,1,23,0,0,14,0,1,19
Teodoro Sampaio,0,1,92,0,6,72,0,1,52
Terra Roxa,0,1,18,0,0,17,0,0,17
Tietê,0,0,59,0,2,75,0,1,51
Timburi,0,0,5,0,0,2,0,0,9
Torre de Pedra,0,0,3,0,0,7,0,0,6
Torrinha,0,0,15,0,0,19,0,0,9
Trabiju,0,0,4,0,1,3,0,0,1
Tremembé,0,4,100,0,2,96,0,5,90
Três Fronteiras,0,1,16,0,1,8,0,0,8
Tuiuti,0,0,6,0,0,10,0,0,21
Tupã,0,6,109,0,9,114,0,6,116
Tupi Paulista,0,1,26,0,2,15,0,0,14
Turiúba,0,0,3,0,0,2,0,0,0
Turmalina,0,0,2,0,0,2,0,1,0
Ubarana,0,2,11,0,0,9,0,1,18
Ubatuba,0,6,216,0,6,243,0,5,181
Ubirajara,0,1,15,0,4,16,0,0,16
Uchoa,0,1,20,0,0,17,0,0,12
União Paulista,0,1,3,0,1,2,0,1,3
Urânia,0,1,23,0,2,13,0,0,8
Uru,0,0,4,0,0,6,0,0,2
Urupês,0,2,26,0,1,27,0,0,14
Valentim Gentil,0,1,31,0,0,29,0,1,20
Valinhos,0,4,116,0,4,113,0,4,94
Valparaíso,0,6,74,0,5,64,0,3,57
Vargem,0,1,12,0,3,22,0,0,25
Vargem Grande do Sul,0,6,91,0,7,87,0,1,84
Vargem Grande Paulista,0,2,115,0,6,103,0,4,105
Várzea Paulista,0,14,261,0,6,264,0,9,190
Vera Cruz,0,1,23,0,0,24,0,1,25
Vinhedo,0,4,95,0,3,85,0,4,73
Viradouro,0,5,42,0,4,36,0,1,31
Vista Alegre do Alto,0,0,11,0,1,18,0,1,17
Vitória Brasil,0,0,2,0,0,5,0,0,2
Votorantim,0,10,241,0,6,220,0,7,201
Votuporanga,0,4,121,0,4,130,0,6,104
Zacarias,0,0,6,0,0,6,0,0,5
Chavantes,0,1,48,0,2,50,0,0,30
Estiva Gerbi,0,2,14,0,0,17,0,0,19
