Município,Soma de Menor de 10 anos 2014,Soma de 10 a 14 anos 2014,Soma de 15 a 19 anos 2014,Soma de Menor de 10 anos 2015,Soma de 10 a 14 anos 2015,Soma de 15 a 19 anos 2015,Soma de Menor de 10 anos 2016,Soma de 10 a 14 anos 2016,Soma de 15 a 19 anos 2016
Caraguatatuba,0,8,255,0,5,279,1,8,255
Carapicuíba,0,35,1084,0,32,1070,0,42,1018
Cardoso,0,1,21,0,1,21,0,1,17
Casa Branca,0,1,40,0,6,34,0,0,41
Cássia dos Coqueiros,0,0,2,0,0,3,0,0,3
Castilho,0,3,54,0,5,45,0,2,39
Catanduva,0,4,190,0,5,187,0,8,155
Catiguá,0,0,13,0,0,9,0,2,9
Cedral,0,0,11,0,2,12,0,0,23
Cerqueira César,0,2,38,0,2,38,0,2,53
Cerquilho,0,0,67,0,0,60,0,2,52
Cesário Lange,0,2,47,0,3,47,0,0,39
Charqueada,0,1,41,0,3,30,0,1,30
Clementina,0,0,22,0,0,17,0,1,21
Colina,0,4,49,0,1,39,0,1,43
Colômbia,0,0,25,0,0,20,0,0,19
Conchal,0,4,94,0,5,73,0,4,91
Conchas,0,2,31,0,0,42,0,1,39
Cordeirópolis,0,1,48,0,0,32,0,2,44
Coroados,0,1,16,0,0,15,0,1,14
Coronel Macedo,0,0,12,0,0,6,0,0,10
Corumbataí,0,0,8,0,0,12,0,0,8
Cosmópolis,0,6,110,0,4,111,0,2,84
Cosmorama,0,1,14,0,2,16,0,2,9
Cotia,0,22,548,0,17,585,0,13,536
Cravinhos,0,2,60,0,5,69,0,1,58
Cristais Paulista,0,1,16,0,0,18,0,1,6
Cruzália,0,0,2,0,0,1,0,0,2
Cruzeiro,0,8,184,0,7,152,0,2,120
Cubatão,0,8,302,0,14,308,0,10,243
Cunha,0,1,39,0,1,42,0,1,47
Descalvado,0,2,43,0,4,61,0,0,41
Diadema,0,38,891,0,35,834,0,29,783
Dirce Reis,0,0,1,0,0,1,0,0,0
Divinolândia,0,0,20,0,0,16,0,2,14
Dobrada,0,0,29,0,0,27,0,0,17
Dois Córregos,0,3,71,0,4,68,0,1,76
Dolcinópolis,0,0,1,0,0,4,0,1,4
Dourado,0,0,11,0,0,12,0,1,16
Dracena,0,4,63,0,1,60,0,2,62
Duartina,0,2,29,0,1,23,0,0,23
Dumont,0,2,15,0,2,11,0,0,18
Echaporã,0,2,18,0,0,11,0,2,15
Eldorado,0,4,42,0,1,54,0,2,50
Elias Fausto,0,2,43,0,3,35,0,2,21
Elisiário,0,0,7,0,0,5,0,0,3
Embaúba,0,0,4,0,0,4,0,0,3
Embu das Artes,0,25,794,0,24,728,0,21,640
Embu-Guaçu,0,3,178,0,7,182,0,7,166
Emilianópolis,0,0,4,0,0,5,0,0,1
Engenheiro Coelho,0,4,52,0,2,51,0,4,45
Espírito Santo do Pinhal,0,4,72,0,1,63,0,0,60
Espírito Santo do Turvo,0,2,7,0,0,12,0,0,9
Estrela d'Oeste,0,2,17,0,0,14,0,0,8
Estrela do Norte,0,0,7,0,1,8,0,0,4
Euclides da Cunha Paulista,0,1,21,0,2,17,0,1,20
Fartura,0,2,31,0,0,44,0,1,25
Fernandópolis,0,6,80,0,0,102,0,2,82
Fernando Prestes,0,1,7,0,1,7,0,1,12
Fernão,0,0,3,0,0,1,0,0,3
Ferraz de Vasconcelos,0,8,443,0,14,464,0,10,432
Flora Rica,0,0,1,0,0,2,0,0,1
Floreal,0,0,6,0,0,4,0,0,3
Flórida Paulista,0,1,21,0,0,22,0,0,16
Florínia,0,1,7,0,1,6,0,0,11
Franca,0,22,636,0,24,614,0,17,611
Francisco Morato,0,18,619,0,26,546,0,19,549
Franco da Rocha,0,14,328,0,10,346,0,11,363
Gabriel Monteiro,0,0,3,0,0,5,0,0,1
Gália,0,1,15,0,0,13,0,0,15
Garça,0,2,84,0,4,80,0,1,88
Gastão Vidigal,0,0,7,0,0,15,0,1,4
Gavião Peixoto,0,0,9,0,0,13,0,1,5
General Salgado,0,2,18,0,0,22,0,2,16
Getulina,0,3,23,0,0,25,0,0,20
Glicério,0,1,9,0,0,9,0,0,7
Guaiçara,0,0,34,0,2,20,0,2,22
Guaimbê,0,1,14,0,1,10,0,0,19
Guaíra,0,6,75,0,2,68,0,2,64
Guapiaçu,0,2,39,0,1,31,0,1,32
Guapiara,0,4,54,0,4,49,0,7,43
Guará,0,4,63,0,1,46,0,6,32
